Feature,IG_Score,Perm_Score,SHAP_Score,|Pearson|,Ensemble,Rank
T30,0.12793723,0.11098650787445072,0.11801360727156593,0.02089536202876182,0.11897911421119357,1
Nc,0.14008747,0.0641623576065925,0.12870069035738746,0.03176669325994857,0.11098350612541143,2
Wf,0.12880453,0.07571287927053606,0.12444560707086619,0.004633127068418768,0.10965434033836434,3
alt,0.10844114,0.0748839519294746,0.09270630141007546,0.03066856912154609,0.09201046337231701,4
Nf,0.07895597,0.07242271954511573,0.06463112017888392,0.008177813346874308,0.07200327014285172,5
P21,0.065891005,0.05363210162469361,0.06712257884675504,0.030104367449673562,0.062215228523422796,6
Mach,0.04769309,0.04770364659301989,0.062475956495419434,0.022143823251857223,0.05262423057971425,7
T2,0.034624845,0.0733557593491802,0.04450165051187275,0.03395764296362978,0.05082741821685265,8
T48,0.03568881,0.0718875554765192,0.0441807280742517,0.053545427338474935,0.05058569786708614,9
P24,0.037791364,0.07213255673188962,0.030680125205682526,0.025921650944203515,0.04686801527750386,10
Ps30,0.037856046,0.04890830449327023,0.0484477268837032,0.027323014713445008,0.04507069249578835,11
P50,0.029487293,0.061996882761043405,0.039052755785391996,0.02950974000222843,0.043512310586680425,12
P15,0.038060844,0.03961280758363574,0.045646701635040116,0.030104366669010656,0.041106784387741804,13
P2,0.026540283,0.05710652715045303,0.029847210687070466,0.031117141777807947,0.03783134031708051,14
T50,0.027733978,0.04022675595267214,0.03275792057006703,0.07021460905373762,0.033572884802264454,15
P40,0.027536161,0.02641825218932753,0.02051996481772033,0.028464174699430033,0.02482479275032114,16
TRA,0.003986039,0.005891933498009399,0.0027031994571550732,0.01428174478139575,0.004193724051366502,17
T24,0.0028839174,0.0029585003699879042,0.003566154676333604,0.01691826066440452,0.0031361908218537956,18
